"시점","시도별",부채 (만원)
"2017","전국",7099
"2017","서울",9690
"2017","인천",6333
"2017","경기",9028
"2017","부산",5181
"2017","대구",6424
"2017","광주",4312
"2017","대전",6158
"2017","울산",7352
"2017","강원",4153
"2017","충북",5195
"2017","충남",5941
"2017","전북",4121
"2017","전남",4188
"2017","경북",4719
"2017","경남",6141
"2017","제주",5942
"2018","전국",7668
"2018","서울",10073
"2018","인천",7065
"2018","경기",9850
"2018","부산",6096
"2018","대구",7670
"2018","광주",4785
"2018","대전",6675
"2018","울산",7568
"2018","세종",10254
"2018","강원",4508
"2018","충북",5112
"2018","충남",5590
"2018","전북",4376
"2018","전남",4561
"2018","경북",5082
"2018","경남",6728
"2018","제주",6466
"2019","전국",7910
"2019","서울",10635
"2019","인천",7277
"2019","경기",10217
"2019","부산",6217
"2019","대구",7546
"2019","광주",5003
"2019","대전",6763
"2019","울산",6672
"2019","세종",10145
"2019","강원",4924
"2019","충북",5195
"2019","충남",5225
"2019","전북",4973
"2019","전남",4765
"2019","경북",5067
"2019","경남",6804
"2019","제주",7289
"2020","전국",8256
"2020","서울",11077
"2020","인천",8498
"2020","경기",10213
"2020","부산",6712
"2020","대구",7894
"2020","광주",6035
"2020","대전",6562
"2020","울산",6776
"2020","세종",10793
"2020","강원",5619
"2020","충북",5547
"2020","충남",5644
"2020","전북",5378
"2020","전남",4545
"2020","경북",5228
"2020","경남",7067
"2020","제주",7869
"2021","전국",8801
"2021","서울",11716
"2021","인천",8907
"2021","경기",11026
"2021","부산",8339
"2021","대구",8594
"2021","광주",6593
"2021","대전",8106
"2021","울산",6963
"2021","세종",13063
"2021","강원",5539
"2021","충북",5064
"2021","충남",5802
"2021","전북",5869
"2021","전남",4622
"2021","경북",5014
"2021","경남",6751
"2021","제주",7764
"2022","전국",9170
"2022","서울",11972
"2022","인천",9566
"2022","경기",11863
"2022","부산",8632
"2022","대구",8474
"2022","광주",6898
"2022","대전",7959
"2022","울산",6894
"2022","세종",14082
"2022","강원",5370
"2022","충북",5913
"2022","충남",5978
"2022","전북",5618
"2022","전남",5088
"2022","경북",5543
"2022","경남",6594
"2022","제주",7227
