"시점","시도별",자산 (만원)
"2017","전국",38671
"2017","서울",54431
"2017","인천",30464
"2017","경기",42032
"2017","부산",31482
"2017","대구",39500
"2017","광주",29815
"2017","대전",31149
"2017","울산",40766
"2017","강원",28474
"2017","충북",30808
"2017","충남",32173
"2017","전북",26189
"2017","전남",27383
"2017","경북",31886
"2017","경남",32643
"2017","제주",43068
"2018","전국",42036
"2018","서울",60714
"2018","인천",33800
"2018","경기",45940
"2018","부산",35272
"2018","대구",43053
"2018","광주",32369
"2018","대전",33924
"2018","울산",43436
"2018","세종",54717
"2018","강원",31791
"2018","충북",31201
"2018","충남",30923
"2018","전북",27539
"2018","전남",29253
"2018","경북",32255
"2018","경남",33042
"2018","제주",48972
"2019","전국",43191
"2019","서울",64240
"2019","인천",35159
"2019","경기",47546
"2019","부산",35781
"2019","대구",41818
"2019","광주",34387
"2019","대전",35692
"2019","울산",39305
"2019","세종",58784
"2019","강원",34879
"2019","충북",31152
"2019","충남",29534
"2019","전북",28877
"2019","전남",30196
"2019","경북",31316
"2019","경남",32049
"2019","제주",50459
"2020","전국",44543
"2020","서울",67839
"2020","인천",40605
"2020","경기",48437
"2020","부산",36542
"2020","대구",40826
"2020","광주",35554
"2020","대전",36864
"2020","울산",39420
"2020","세종",59671
"2020","강원",34307
"2020","충북",30193
"2020","충남",30466
"2020","전북",29732
"2020","전남",31512
"2020","경북",30457
"2020","경남",31511
"2020","제주",52147
"2021","전국",50253
"2021","서울",76578
"2021","인천",45085
"2021","경기",56678
"2021","부산",44042
"2021","대구",43848
"2021","광주",39428
"2021","대전",45581
"2021","울산",43167
"2021","세종",75688
"2021","강원",37877
"2021","충북",31811
"2021","충남",31483
"2021","전북",34160
"2021","전남",31646
"2021","경북",31143
"2021","경남",33588
"2021","제주",56760
"2022","전국",54772
"2022","서울",81710
"2022","인천",49475
"2022","경기",63959
"2022","부산",47470
"2022","대구",44547
"2022","광주",42690
"2022","대전",50033
"2022","울산",46023
"2022","세종",79274
"2022","강원",36990
"2022","충북",35099
"2022","충남",33762
"2022","전북",36616
"2022","전남",33152
"2022","경북",35065
"2022","경남",38954
"2022","제주",57466
