"시점","행정구역별",데이터
"2006","전국",3231791
"2006","서울특별시",307385
"2006","부산광역시",195728
"2006","대구광역시",148995
"2006","인천광역시",218490
"2006","광주광역시",68614
"2006","대전광역시",44810
"2006","울산광역시",149955
"2006","경기도",959122
"2006","강원도",41535
"2006","충청북도",127043
"2006","충청남도",188271
"2006","전라북도",83276
"2006","전라남도",89606
"2006","경상북도",253027
"2006","경상남도",347837
"2006","제주특별자치도",8097
"2007","전국",3259932
"2007","서울특별시",297545
"2007","부산광역시",197315
"2007","대구광역시",148642
"2007","인천광역시",216224
"2007","광주광역시",69372
"2007","대전광역시",45462
"2007","울산광역시",155592
"2007","경기도",959246
"2007","강원도",42304
"2007","충청북도",130580
"2007","충청남도",192020
"2007","전라북도",85755
"2007","전라남도",89183
"2007","경상북도",250834
"2007","경상남도",371731
"2007","제주특별자치도",8127
"2008","전국",3247881
"2008","서울특별시",279250
"2008","부산광역시",194276
"2008","대구광역시",145600
"2008","인천광역시",208604
"2008","광주광역시",68568
"2008","대전광역시",47290
"2008","울산광역시",151819
"2008","경기도",956529
"2008","강원도",43521
"2008","충청북도",136992
"2008","충청남도",199787
"2008","전라북도",85013
"2008","전라남도",91190
"2008","경상북도",254744
"2008","경상남도",376041
"2008","제주특별자치도",8657
"2009","전국",3262933
"2009","서울특별시",266767
"2009","부산광역시",192595
"2009","대구광역시",147999
"2009","인천광역시",206296
"2009","광주광역시",71382
"2009","대전광역시",48164
"2009","울산광역시",150799
"2009","경기도",966580
"2009","강원도",43437
"2009","충청북도",140002
"2009","충청남도",204239
"2009","전라북도",94331
"2009","전라남도",92827
"2009","경상북도",252824
"2009","경상남도",375359
"2009","제주특별자치도",9332
"2010","전국",3422439
"2010","서울특별시",265281
"2010","부산광역시",197697
"2010","대구광역시",155548
"2010","인천광역시",216901
"2010","광주광역시",74498
"2010","대전광역시",51109
"2010","울산광역시",150549
"2010","경기도",1030877
"2010","강원도",45074
"2010","충청북도",144572
"2010","충청남도",218055
"2010","전라북도",99351
"2010","전라남도",96453
"2010","경상북도",276068
"2010","경상남도",391133
"2010","제주특별자치도",9273
"2011","전국",3625989
"2011","서울특별시",268430
"2011","부산광역시",202545
"2011","대구광역시",161698
"2011","인천광역시",220821
"2011","광주광역시",76372
"2011","대전광역시",54711
"2011","울산광역시",160581
"2011","경기도",1113407
"2011","강원도",47578
"2011","충청북도",154733
"2011","충청남도",250669
"2011","전라북도",105744
"2011","전라남도",103100
"2011","경상북도",289646
"2011","경상남도",406746
"2011","제주특별자치도",9208
"2012","전국",3718188
"2012","서울특별시",277232
"2012","부산광역시",209619
"2012","대구광역시",168321
"2012","인천광역시",226191
"2012","광주광역시",79992
"2012","대전광역시",55135
"2012","울산광역시",161628
"2012","세종특별자치시",16407
"2012","경기도",1131679
"2012","강원도",48126
"2012","충청북도",156920
"2012","충청남도",240107
"2012","전라북도",109262
"2012","전라남도",107776
"2012","경상북도",299161
"2012","경상남도",420800
"2012","제주특별자치도",9832
"2013","전국",3825678
"2013","서울특별시",266641
"2013","부산광역시",213846
"2013","대구광역시",173573
"2013","인천광역시",229048
"2013","광주광역시",78913
"2013","대전광역시",56571
"2013","울산광역시",181791
"2013","세종특별자치시",17574
"2013","경기도",1155000
"2013","강원도",50254
"2013","충청북도",168762
"2013","충청남도",260484
"2013","전라북도",116051
"2013","전라남도",109099
"2013","경상북도",314893
"2013","경상남도",423086
"2013","제주특별자치도",10092
"2014","전국",3981938
"2014","서울특별시",276287
"2014","부산광역시",220257
"2014","대구광역시",176125
"2014","인천광역시",234742
"2014","광주광역시",82331
"2014","대전광역시",58627
"2014","울산광역시",188081
"2014","세종특별자치시",17325
"2014","경기도",1214757
"2014","강원도",53741
"2014","충청북도",180032
"2014","충청남도",269217
"2014","전라북도",120601
"2014","전라남도",116929
"2014","경상북도",325117
"2014","경상남도",437317
"2014","제주특별자치도",10452
"2015","전국",4102259
"2015","서울특별시",293173
"2015","부산광역시",227632
"2015","대구광역시",178781
"2015","인천광역시",245240
"2015","광주광역시",82540
"2015","대전광역시",61558
"2015","울산광역시",186809
"2015","세종특별자치시",18675
"2015","경기도",1260761
"2015","강원도",56047
"2015","충청북도",186786
"2015","충청남도",276581
"2015","전라북도",122344
"2015","전라남도",120633
"2015","경상북도",328305
"2015","경상남도",444673
"2015","제주특별자치도",11721
"2016","전국",4097338
"2016","서울특별시",278773
"2016","부산광역시",224025
"2016","대구광역시",179927
"2016","인천광역시",248950
"2016","광주광역시",85157
"2016","대전광역시",61352
"2016","울산광역시",180111
"2016","세종특별자치시",18677
"2016","경기도",1276105
"2016","강원도",57365
"2016","충청북도",194233
"2016","충청남도",284596
"2016","전라북도",118968
"2016","전라남도",115015
"2016","경상북도",328962
"2016","경상남도",433488
"2016","제주특별자치도",11634
"2017","전국",4103986
"2017","서울특별시",277920
"2017","부산광역시",219037
"2017","대구광역시",179147
"2017","인천광역시",250329
"2017","광주광역시",86364
"2017","대전광역시",61370
"2017","울산광역시",177427
"2017","세종특별자치시",19107
"2017","경기도",1300516
"2017","강원도",58955
"2017","충청북도",198137
"2017","충청남도",284336
"2017","전라북도",117665
"2017","전라남도",114092
"2017","경상북도",324059
"2017","경상남도",423853
"2017","제주특별자치도",11672
"2018","전국",4105871
"2018","서울특별시",266500
"2018","부산광역시",216091
"2018","대구광역시",176508
"2018","인천광역시",247361
"2018","광주광역시",86109
"2018","대전광역시",61879
"2018","울산광역시",175990
"2018","세종특별자치시",20248
"2018","경기도",1317605
"2018","강원도",59477
"2018","충청북도",208750
"2018","충청남도",293530
"2018","전라북도",115285
"2018","전라남도",117989
"2018","경상북도",320706
"2018","경상남도",409762
"2018","제주특별자치도",12081
"2019","전국",4123817
"2019","서울특별시",265273
"2019","부산광역시",214649
"2019","대구광역시",174311
"2019","인천광역시",244352
"2019","광주광역시",85858
"2019","대전광역시",63480
"2019","울산광역시",177173
"2019","세종특별자치시",20555
"2019","경기도",1321095
"2019","강원도",61976
"2019","충청북도",212108
"2019","충청남도",299436
"2019","전라북도",117056
"2019","전라남도",122103
"2019","경상북도",319306
"2019","경상남도",412713
"2019","제주특별자치도",12373
"2020","전국",4260429
"2020","서울특별시",284356
"2020","부산광역시",216869
"2020","대구광역시",173382
"2020","인천광역시",253606
"2020","광주광역시",88160
"2020","대전광역시",67835
"2020","울산광역시",175733
"2020","세종특별자치시",20429
"2020","경기도",1382830
"2020","강원도",63725
"2020","충청북도",224247
"2020","충청남도",314229
"2020","전라북도",120948
"2020","전라남도",125923
"2020","경상북도",320531
"2020","경상남도",413775
"2020","제주특별자치도",13851
