시점,시도별,의사,치과의사,한의사,약사,간호사,기타보건의료인
2010,서울,23077,5933,3937,7667,28634,4553
2010,부산,6247,1300,1134,2194,9268,1894
2010,대구,4597,1055,840,1679,6143,1280
2010,인천,3212,874,606,1356,4364,1375
2010,광주,2723,783,393,951,4538,870
2010,대전,2910,587,545,978,3874,1002
2010,울산,1262,396,306,540,2192,499
2010,경기,14288,3930,2716,6101,18406,5302
2010,강원,2254,557,425,820,3966,742
2010,충북,1959,435,450,863,2589,867
2010,충남,2506,720,604,1094,3264,1166
2010,전북,2967,724,684,1180,4356,1241
2010,전남,2534,586,524,1075,5173,1474
2010,경북,2995,700,767,1306,5732,1361
2010,경남,4011,926,858,1471,6427,1630
2010,제주,783,172,142,299,1751,348
2011,계,84544,21410,16826,33643,118771,29511
2011,서울,24791,6491,4366,8660,29804,5179
2011,부산,6765,1418,1318,2498,10144,2246
2011,대구,4837,1099,917,1862,6458,1533
2011,인천,3605,956,697,1560,4689,1551
2011,광주,2991,846,517,1075,5159,1049
2011,대전,3029,652,618,1109,4056,1144
2011,울산,1420,426,363,617,2390,527
2011,경기,15750,4354,3155,7129,20228,6427
2011,강원,2310,562,460,896,4023,789
2011,충북,2110,448,484,961,2763,971
2011,충남,2707,784,652,1244,3425,1256
2011,전북,3126,731,743,1317,4745,1422
2011,전남,2721,604,593,1184,5630,1591
2011,경북,3185,738,815,1459,6192,1547
2011,경남,4368,1115,960,1740,7277,1900
2011,제주,829,186,168,332,1788,379
2012,계,86761,21888,17353,32560,120491,31711
2012,서울,25331,6565,4393,8368,31194,5575
2012,부산,6928,1484,1376,2432,10212,2429
2012,대구,5013,1117,938,1804,6458,1715
2012,인천,3739,1001,729,1498,4815,1662
2012,광주,3023,848,557,1048,5123,1138
2012,대전,3180,696,639,1091,4127,1267
2012,울산,1447,438,360,604,2410,558
2012,세종,86,27,27,62,77,58
2012,경기,16372,4422,3265,6799,20380,6858
2012,강원,2350,575,463,890,3983,843
2012,충북,2108,468,502,929,2769,1019
2012,충남,2684,763,677,1175,3327,1246
2012,전북,3148,753,766,1263,4700,1517
2012,전남,2791,621,622,1141,5540,1703
2012,경북,3232,772,852,1385,6208,1617
2012,경남,4468,1150,1012,1727,7548,2090
2012,제주,861,188,175,344,1620,416
2013,계,90710,22482,18199,32537,134748,33984
2013,서울,27055,6643,4492,8284,35179,5985
2013,부산,7152,1554,1465,2406,11547,2644
2013,대구,5114,1143,968,1793,8189,1891
2013,인천,3936,1041,761,1483,5476,1834
2013,광주,3112,867,602,1071,5430,1233
2013,대전,3246,727,660,1082,4570,1334
2013,울산,1499,452,373,608,2950,601
2013,세종,96,31,33,64,93,60
2013,경기,17089,4613,3443,6870,22158,7434
2013,강원,2403,588,477,900,4122,875
2013,충북,2186,478,541,925,3148,1080
2013,충남,2766,768,706,1163,3774,1210
2013,전북,3279,785,841,1260,5073,1649
2013,전남,2861,640,686,1149,5849,1788
2013,경북,3362,789,889,1398,6722,1723
2013,경남,4614,1161,1074,1720,8470,2187
2013,제주,940,202,188,361,1998,456
2014,계,92927,22952,18767,32645,147210,37049
2014,서울,27465,6648,4512,8217,37660,6750
2014,부산,7341,1581,1536,2380,12660,2901
2014,대구,5195,1166,999,1753,8502,2014
2014,인천,4167,1081,827,1515,6500,1982
2014,광주,3194,909,637,1097,6147,1384
2014,대전,3307,766,689,1084,4709,1487
2014,울산,1542,454,376,603,3214,693
2014,세종,124,43,41,82,112,72
2014,경기,17543,4722,3561,7013,25878,8104
2014,강원,2477,589,482,891,4351,903
2014,충북,2247,503,549,930,3303,1103
2014,충남,2855,797,743,1167,4122,1336
2014,전북,3351,811,862,1262,5427,1763
2014,전남,2887,645,724,1153,6471,1833
2014,경북,3464,814,928,1374,7096,1876
2014,경남,4807,1208,1112,1754,8951,2359
2014,제주,961,215,189,370,2107,489
2015,계,95076,23540,19246,33206,158247,39639
2015,서울,27726,6733,4567,8227,39759,7262
2015,부산,7538,1628,1579,2441,13782,3258
2015,대구,5335,1204,1018,1798,9005,2196
2015,인천,4351,1107,821,1581,7450,2144
2015,광주,3292,932,661,1071,6679,1592
2015,대전,3399,771,709,1087,5034,1555
2015,울산,1633,469,402,616,3362,719
2015,세종,159,61,54,103,132,80
2015,경기,18105,4899,3716,7124,27717,8605
2015,강원,2519,617,498,904,4805,936
2015,충북,2314,533,570,947,3726,1148
2015,충남,2915,805,756,1227,4424,1422
2015,전북,3476,843,886,1306,5855,1880
2015,전남,2946,656,731,1171,6988,1908
2015,경북,3433,835,944,1417,7497,1893
2015,경남,4914,1227,1137,1808,9801,2522
2015,제주,1021,220,197,378,2231,519
2016,계,97713,24150,19737,33946,179989,42688
2016,서울,28189,6803,4648,8321,45291,7890
2016,부산,7637,1683,1609,2448,15494,3516
2016,대구,5495,1238,1059,1847,9920,2343
2016,인천,4469,1136,860,1628,8822,2393
2016,광주,3434,969,701,1083,7192,1782
2016,대전,3455,793,714,1113,5788,1619
2016,울산,1702,485,406,646,3863,813
2016,세종,180,74,69,113,139,96
2016,경기,18846,5037,3845,7392,33004,9305
2016,강원,2575,622,499,920,5130,975
2016,충북,2389,560,574,971,3943,1230
2016,충남,2995,820,769,1245,4956,1490
2016,전북,3522,871,899,1335,6581,1939
2016,전남,3042,693,747,1173,7436,1954
2016,경북,3515,846,954,1458,8386,2001
2016,경남,5221,1277,1176,1866,11672,2790
2016,제주,1047,243,208,387,2372,552
2017,계,100241,25300,20389,36980,185853,45433
2017,서울,28746,7118,4733,8924,46034,8386
2017,부산,7735,1730,1627,2676,15962,3663
2017,대구,5552,1288,1090,1976,10073,2471
2017,인천,4684,1211,914,1813,9504,2639
2017,광주,3497,988,726,1215,7559,1895
2017,대전,3545,814,727,1222,6019,1737
2017,울산,1729,501,409,704,3961,846
2017,세종,239,105,86,149,142,122
2017,경기,19642,5324,4072,8192,34371,10050
2017,강원,2629,645,505,967,5289,1007
2017,충북,2417,592,589,1060,4090,1326
2017,충남,3089,877,801,1401,5100,1576
2017,전북,3598,899,910,1409,6853,1978
2017,전남,3089,731,783,1236,7551,1990
2017,경북,3587,904,979,1582,8659,2140
2017,경남,5351,1312,1217,2030,12219,3013
2017,제주,1112,261,221,424,2467,594
2018,계,102471,25792,20759,37837,195314,48622
2018,서울,29378,7175,4816,9106,47763,8994
2018,부산,7852,1739,1655,2701,16696,3852
2018,대구,5721,1313,1103,2027,10541,2696
2018,인천,4893,1250,945,1856,10355,2874
2018,광주,3547,978,697,1238,7990,2017
2018,대전,3629,841,728,1247,6274,1867
2018,울산,1726,502,404,701,4003,882
2018,세종,270,111,99,167,171,155
2018,경기,20355,5549,4226,8487,36593,10850
2018,강원,2661,649,508,987,5509,1059
2018,충북,2472,611,618,1093,4382,1478
2018,충남,3114,893,810,1409,5284,1658
2018,전북,3619,909,928,1411,7329,2101
2018,전남,3086,744,801,1281,8051,2077
2018,경북,3619,917,985,1598,8921,2227
2018,경남,5392,1338,1213,2076,12862,3193
2018,제주,1137,273,223,452,2590,642
2019,계,105628,26486,21630,38941,215293,53017
2019,서울,30359,7308,5018,9385,52727,10064
2019,부산,8008,1757,1691,2795,18514,4263
2019,대구,5908,1330,1146,2083,12557,3063
2019,인천,5071,1298,997,1915,11639,3161
2019,광주,3658,1009,723,1276,8949,2220
2019,대전,3726,852,741,1262,7153,2012
2019,울산,1754,504,410,724,4612,946
2019,세종,302,121,103,180,220,183
2019,경기,21210,5788,4512,8797,39694,11722
2019,강원,2719,669,528,1005,6043,1151
2019,충북,2529,634,639,1110,4767,1579
2019,충남,3198,924,836,1444,5940,1780
2019,전북,3689,917,934,1427,7652,2202
2019,전남,3128,767,830,1304,8539,2207
2019,경북,3662,957,1027,1625,9577,2317
2019,경남,5532,1370,1257,2132,13972,3481
2019,제주,1175,281,238,477,2738,666
2020,계,107976,26978,22038,39765,225462,55867
2020,서울,31140,7368,5073,9516,54778,10622
2020,부산,8102,1783,1725,2835,18961,4492
2020,대구,6013,1338,1172,2139,12683,3263
2020,인천,5130,1322,1034,1963,12176,3358
2020,광주,3676,1030,718,1307,9112,2274
2020,대전,3680,866,756,1283,7457,2053
2020,울산,1762,511,415,739,4808,970
2020,세종,441,127,119,227,754,231
2020,경기,22173,5983,4674,9037,43922,12724
2020,강원,2793,695,543,1050,6235,1209
2020,충북,2541,662,629,1118,4869,1627
2020,충남,3244,933,836,1461,6112,1831
2020,전북,3682,929,941,1480,7971,2274
2020,전남,3140,782,818,1305,8556,2271
2020,경북,3655,958,1050,1632,9693,2283
2020,경남,5619,1406,1291,2192,14576,3673
2020,제주,1185,285,244,481,2799,712
2021,계,109937,27491,22542,40388,240307,57887
2021,서울,32045,7457,5215,9620,58773,10845
2021,부산,8219,1783,1776,2891,19794,4706
2021,대구,6083,1367,1211,2163,13983,3398
2021,인천,5208,1327,1086,1991,12656,3486
2021,광주,3659,1037,686,1307,9452,2273
2021,대전,3722,852,774,1284,7871,2125
2021,울산,1789,511,414,753,5044,1020
2021,세종,458,138,125,233,882,229
2021,경기,22813,6231,4875,9269,47108,13320
2021,강원,2784,723,572,1077,6647,1299
2021,충북,2503,681,664,1141,5133,1697
2021,충남,3270,953,834,1464,7420,1883
2021,전북,3680,940,940,1485,8434,2355
2021,전남,3199,803,814,1336,8880,2336
2021,경북,3627,966,1043,1640,10179,2385
2021,경남,5683,1426,1262,2235,15046,3792
2021,제주,1195,296,251,499,3005,738
