공공의료시설 대중교통/도보,공공의료시설 승용차,병.의원 대중교통/도보,병.의원 승용차,종합병원 대중교통/도보,종합병원 승용차,시도별,년도
23.155,7.0925,19.4225,5.37,46.9175,19.6475,강원도,2017
18.515,8.8725,6.865,2.83,25.064999999999998,12.8975,경기도,2017
18.7025,8.285,12.165,4.075,40.47,19.245,경상남도,2017
23.6725,7.2375,22.7025,6.095,55.5325,22.9925,경상북도,2017
19.1725,9.365,4.6725,2.0625,13.27,5.984999999999999,광주광역시,2017
18.225,9.5275,4.6675,2.145,21.38,11.4475,대구광역시,2017
17.259999999999998,7.865,4.5649999999999995,2.165,18.925,8.592500000000001,대전광역시,2017
12.3325,8.7225,4.0625,2.25,13.27,10.280000000000001,부산광역시,2017
16.415,10.9525,3.4050000000000002,2.0625,14.657499999999999,9.3475,서울특별시,2017
18.4775,6.984999999999999,10.77,3.4675000000000002,50.5375,28.93,세종특별자치시,2017
20.520000000000003,9.4025,6.625,2.6750000000000003,20.6,9.7325,울산광역시,2017
16.4575,8.875,5.65,2.8725,19.23,11.425,인천광역시,2017
25.1025,7.6850000000000005,24.015,7.125,53.2775,22.54,전라남도,2017
21.997500000000002,8.2425,15.9125,4.56,40.3525,15.752500000000001,전라북도,2017
20.2075,9.7325,8.5,5.035,29.002499999999998,18.9975,제주특별자치도,2017
21.795,6.9025,20.52,5.495,48.0475,17.3475,충청남도,2017
22.7575,7.9825,16.58,4.385,41.825,15.805,충청북도,2017
24.665,7.2575,21.8,5.5024999999999995,47.955,20.497500000000002,강원도,2018
19.3425,8.57,6.890000000000001,2.7925,25.69,12.4825,경기도,2018
19.7675,8.29,14.545,3.99,39.5075,19.115000000000002,경상남도,2018
23.92,7.165,23.345,6.115,50.7375,21.0975,경상북도,2018
17.53,9.575,4.7275,2.2025,12.4025,6.165,광주광역시,2018
18.3625,8.4175,4.66,2.1174999999999997,20.56,10.247499999999999,대구광역시,2018
16.5775,8.9575,4.51,2.1225,17.54,9.275,대전광역시,2018
14.3625,9.254999999999999,4.1975,2.2824999999999998,14.985,10.7525,부산광역시,2018
17.11,10.59,3.4450000000000003,2.0324999999999998,15.5975,9.2525,서울특별시,2018
16.947499999999998,6.73,9.0875,3.2525,44.1475,27.05,세종특별자치시,2018
17.5375,9.31,6.2725,2.6125,17.845,9.7575,울산광역시,2018
16.11,8.4875,5.375,2.815,17.09,9.825,인천광역시,2018
23.7475,7.145,25.6225,6.532500000000001,51.095,22.155,전라남도,2018
19.2025,7.955,15.665,4.48,35.6775,15.59,전라북도,2018
20.79,9.3225,10.735,4.6875,29.7625,18.1175,제주특별자치도,2018
21.14,6.6825,20.315,5.359999999999999,45.5875,16.7375,충청남도,2018
21.6175,7.9275,16.067500000000003,4.4125,39.14,15.5725,충청북도,2018
39.129999999999995,7.195,32.5325,5.42,65.3175,20.1,강원도,2019
20.0925,8.51,8.002500000000001,2.705,26.985,12.305,경기도,2019
27.115000000000002,7.5,24.19,4.3175,56.835,19.439999999999998,경상남도,2019
35.057500000000005,6.975,39.1575,7.5725,74.005,22.495,경상북도,2019
19.89,8.692499999999999,5.0675,2.0675,13.6725,5.41,광주광역시,2019
18.345,8.265,5.0125,2.0225,19.085,8.7525,대구광역시,2019
18.265,7.5125,4.61,1.98,18.8975,7.7225,대전광역시,2019
15.88,7.755,4.4125,2.0025,16.9525,9.0175,부산광역시,2019
16.0675,8.4875,3.3875,1.8,14.685,7.695,서울특별시,2019
18.8275,6.8875,10.1,3.2775,29.0825,13.127500000000001,세종특별자치시,2019
22.86,8.9175,8.5925,2.5225,23.245,9.195,울산광역시,2019
17.4975,7.955,6.5325,3.545,20.37,12.4625,인천광역시,2019
37.1525,7.4425,46.485,10.940000000000001,76.2625,29.8875,전라남도,2019
28.8075,8.055,28.5225,5.045,56.4675,16.3375,전라북도,2019
24.2,9.1175,13.432500000000001,6.755,34.730000000000004,20.112499999999997,제주특별자치도,2019
32.9225,6.8025,35.605,5.705,72.815,17.0825,충청남도,2019
30.12,8.094999999999999,26.645,4.335,56.735,15.7325,충청북도,2019
26.1825,7.8825,21.1925,5.83,48.575,20.7225,강원도,2020
17.38,8.785,6.6125,2.925,22.42,12.342500000000001,경기도,2020
19.3275,8.07,13.4775,4.2825,38.845,18.625,경상남도,2020
24.0225,7.5925,22.2025,6.55,49.192499999999995,21.0925,경상북도,2020
17.8475,9.18,4.7575,2.21,12.4375,5.76,광주광역시,2020
18.675,8.6975,4.6850000000000005,2.18,19.345,9.217500000000001,대구광역시,2020
16.7,7.93,4.6025,2.1625,17.4475,8.22,대전광역시,2020
14.5725,8.2925,4.234999999999999,2.2375,15.35,9.7025,부산광역시,2020
14.7975,9.215,3.37,1.9549999999999998,13.6025,8.212499999999999,서울특별시,2020
17.2075,8.25,8.9625,3.5575,23.1725,12.08,세종특별자치시,2020
17.682499999999997,9.385,6.4075,2.77,17.345,8.817499999999999,울산광역시,2020
17.154999999999998,8.93,5.59,2.915,17.7,10.055,인천광역시,2020
24.2825,7.89,24.14,7.4875,48.4975,22.5475,전라남도,2020
20.3375,8.4625,16.43,4.7875,36.86,16.052500000000002,전라북도,2020
21.205,9.3175,10.8475,4.835,30.2325,18.932499999999997,제주특별자치도,2020
21.32,7.2375,19.6075,5.7675,43.8825,17.2675,충청남도,2020
22.302500000000002,7.8549999999999995,15.6525,4.6675,38.9675,15.879999999999999,충청북도,2020
